time (h),C (g/l)
-0.939453125,-0.194244604
0.08984375,-0.021582734
1.603515625,0.208633094
2.087890625,0.227817746
3.177734375,0.227817746
4.267578125,0.247002398
5.236328125,0.304556355
6.75,0.314148681
8.32421875,0.304556355
24.27832031,0.074340528
